pair_id,pos_blob_id,neg_blob_id,pos_x,pos_y,neg_x,neg_y,dx_pos_to_neg,dy_pos_to_neg,distance,vector_error,pos_peak_z,neg_peak_abs_z,amplitude_balance,area_ratio,shape_penalty,pos_num_possible_partners,neg_num_possible_partners,num_possible_partners,local_contrast_score,size_mismatch_penalty,partner_ambiguity_penalty,elongation_penalty,confidence_category,score_v2,score
23,187,192,935.5095221614835,1483.4982470188445,956.4921892032031,1477.5168484323992,20.982667922973633,-5.981398582458496,21.818557739257812,9.303548812866211,3.859347105026245,4.215388774871826,0.9155376434154862,1.0,0.0,1,1,1,3.6963623293421763,0.0,0.0,0.0,low_confidence,5.2540367602959375,5.2540367602959375
24,50,49,746.5022826420575,484.00212981722757,769.8303484358066,491.5758826932176,23.328065872192383,7.5737528800964355,24.526729583740234,9.588242530822754,4.097590923309326,4.803278923034668,0.8530820277079612,0.36363636363636365,0.5,1,1,1,3.7965860484418914,0.6363636363636364,0.0,0.5,low_confidence,4.994730818166721,4.994730818166721
25,195,201,821.9122508789037,1536.3436621694016,842.5035089850809,1537.4832188062726,20.591259002685547,1.139556646347046,20.622766494750977,8.076900482177734,4.272202491760254,3.8341028690338135,0.8974534508672288,0.4,0.6666666666666667,1,1,1,3.637515859914076,0.6,0.0,0.6666666666666667,low_confidence,4.89609535477299,4.89609535477299
26,79,86,1238.499569488598,792.5062777157303,1275.1953658768575,794.6081139595589,36.695796966552734,2.1018362045288086,36.755943298339844,8.59887409210205,3.8513736724853516,3.8718268871307373,0.9947174253287593,0.8,0.5,1,1,1,3.8412010879794742,0.19999999999999996,0.0,0.5,low_confidence,4.813198364222583,4.813198364222583
27,71,77,1938.8631980385896,713.8727224919804,1974.6024432546624,707.8038570871189,35.7392463684082,-6.0688652992248535,36.25086212158203,9.133397102355957,4.1201395988464355,3.9866747856140137,0.9676067254444995,0.625,0.5,1,1,1,3.922104060167071,0.375,0.0,0.5,low_confidence,4.787829284171469,4.787829284171469
28,72,78,1557.0099659683533,716.0245257004017,1579.7649213935458,722.9916905542302,22.754955291748047,6.967164993286133,23.79767608642578,9.421469688415527,4.414163589477539,3.9783101081848145,0.9012602336869187,0.5714285714285714,0.5,1,1,1,3.7819014029832454,0.4285714285714286,0.0,0.5,low_confidence,4.769973606542712,4.769973606542712
29,28,30,1279.6117862894366,291.9900314001111,1244.182928056875,297.55714513076583,-35.42885971069336,5.567113876342773,35.86358642578125,8.58398151397705,4.23599910736084,4.336552143096924,0.976812676887525,0.7272727272727273,1.5,2,1,2,4.186888367357574,0.2727272727272727,1.0,1.5,low_confidence,4.2978222108806525,4.2978222108806525
30,4,8,914.4874337342973,58.01559070227337,876.8833922106701,60.31669439848314,-37.604042053222656,2.3011035919189453,37.674381256103516,9.28049373626709,3.9515488147735596,4.148944854736328,0.9524225925207402,0.4444444444444444,0.16666666666666674,1,1,1,3.857546590706226,0.5555555555555556,0.0,0.8333333333333333,low_confidence,4.253980875306713,4.253980875306713
31,174,174,1102.0012081690643,1385.5036727408835,1075.2038397353617,1376.594555244378,-26.7973690032959,-8.909117698669434,28.23953628540039,9.56192684173584,4.066366672515869,3.777479410171509,0.92895690782218,0.8,0.0,1,1,1,3.643297501203193,0.19999999999999996,0.0,1.0,low_confidence,3.8207964774638175,3.8207964774638175
32,28,29,1279.6117862894366,291.9900314001111,1241.4898741686418,291.03194090377025,-38.12191390991211,-0.9580904841423035,38.13395309448242,9.731765747070312,4.23599910736084,4.331477165222168,0.9779571600589447,0.75,1.0,2,1,2,4.189312382203836,0.25,1.0,2.0,low_confidence,3.232507719165741,3.232507719165741
